student_id,week,assignment_submitted,submission_delay_days,short_text_submission
S2000,1,yes,0.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2000,2,yes,1.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2000,3,yes,1.0,I reviewed the readings and completed the analysis..
S2000,4,yes,0.0,The examples in class really helped me understand the concepts better..
S2000,5,yes,0.0,This connects well with what we studied in previous weeks..
S2000,6,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2000,7,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2000,8,yes,1.0,I followed the instructions and addressed all the requirements..
S2000,9,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2000,10,yes,1.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2000,11,yes,2.0,This connects well with what we studied in previous weeks..
S2000,12,yes,0.0,The examples in class really helped me understand the concepts better..
S2000,13,yes,0.0,I followed the instructions and addressed all the requirements..
S2000,14,yes,0.0,I followed the instructions and addressed all the requirements. I found the connections to previous material particularly helpful..
S2000,15,yes,0.0,I reviewed the readings and completed the analysis..
S2000,16,yes,1.0,I followed the instructions and addressed all the requirements..
S2001,1,yes,0.0,This connects well with what we studied in previous weeks..
S2001,2,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2001,3,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2001,4,yes,0.0,This connects well with what we studied in previous weeks. I found the connections to previous material particularly helpful..
S2001,5,yes,0.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2001,6,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2001,7,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2001,8,yes,1.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2001,9,yes,0.0,I found this topic interesting and learned a lot from the research..
S2001,10,yes,0.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2001,11,yes,0.0,I found this topic interesting and learned a lot from the research..
S2001,12,yes,0.0,The examples in class really helped me understand the concepts better..
S2001,13,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2001,14,yes,0.0,The examples in class really helped me understand the concepts better..
S2001,15,yes,0.0,The examples in class really helped me understand the concepts better..
S2001,16,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2002,1,yes,0.0,The examples in class really helped me understand the concepts better..
S2002,2,yes,0.0,I found this topic interesting and learned a lot from the research..
S2002,3,yes,1.0,This connects well with what we studied in previous weeks..
S2002,4,yes,1.0,The examples in class really helped me understand the concepts better..
S2002,5,yes,1.0,I completed the assignment based on the course materials..
S2002,6,yes,0.0,I reviewed the readings and completed the analysis..
S2002,7,yes,1.0,I tried to apply the methods we discussed in class..
S2002,8,yes,1.0,I think I understand the main concepts from this exercise..
S2002,9,yes,2.0,I tried to apply the methods we discussed in class..
S2002,10,yes,1.0,I reviewed the readings and completed the analysis..
S2002,11,no,,
S2002,12,no,,
S2002,13,no,,
S2002,14,yes,2.0,I followed the guidelines..
S2002,15,no,,
S2002,16,no,,
S2003,1,yes,1.0,I found this topic interesting and learned a lot from the research..
S2003,2,yes,1.0,The examples in class really helped me understand the concepts better..
S2003,3,no,,
S2003,4,no,,
S2003,5,no,,
S2003,6,no,,
S2003,7,yes,0.0,I tried to apply the methods we discussed in class..
S2003,8,yes,0.0,I followed the instructions and addressed all the requirements..
S2003,9,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2003,10,yes,0.0,I think I understand the main concepts from this exercise..
S2003,11,yes,2.0,I enjoyed exploring the different perspectives on this topic..
S2003,12,yes,1.0,This connects well with what we studied in previous weeks..
S2003,13,yes,0.0,I followed the instructions and addressed all the requirements..
S2003,14,yes,2.0,I completed the assignment based on the course materials..
S2003,15,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2003,16,yes,0.0,This connects well with what we studied in previous weeks..
S2004,1,yes,0.0,The examples in class really helped me understand the concepts better..
S2004,2,yes,0.0,I think I understand the main concepts from this exercise..
S2004,3,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2004,4,yes,0.0,I tried to apply the methods we discussed in class..
S2004,5,yes,1.0,I tried to apply the methods we discussed in class..
S2004,6,yes,2.0,I think I understand the main concepts from this exercise..
S2004,7,yes,1.0,I reviewed the readings and completed the analysis..
S2004,8,yes,0.0,I tried to apply the methods we discussed in class..
S2004,9,no,,
S2004,10,yes,1.0,I completed the assignment based on the course materials..
S2004,11,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2004,12,no,,
S2004,13,yes,0.0,I reviewed the readings and completed the analysis..
S2004,14,yes,0.0,I tried to apply the methods we discussed in class..
S2004,15,yes,2.0,I reviewed the readings and completed the analysis..
S2004,16,yes,0.0,I reviewed the readings and completed the analysis..
S2005,1,no,,
S2005,2,yes,0.0,I reviewed the readings and completed the analysis..
S2005,3,yes,2.0,I enjoyed exploring the different perspectives on this topic..
S2005,4,no,,
S2005,5,yes,2.0,I tried to apply the methods we discussed in class..
S2005,6,yes,0.0,I found this topic interesting and learned a lot from the research..
S2005,7,yes,0.0,I found this topic interesting and learned a lot from the research..
S2005,8,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2005,9,yes,0.0,The examples in class really helped me understand the concepts better..
S2005,10,no,,
S2005,11,yes,1.0,The examples in class really helped me understand the concepts better..
S2005,12,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2005,13,no,,
S2005,14,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2005,15,yes,1.0,The examples in class really helped me understand the concepts better..
S2005,16,yes,0.0,I reviewed the readings and completed the analysis..
S2006,1,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2006,2,yes,0.0,This connects well with what we studied in previous weeks..
S2006,3,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2006,4,yes,1.0,This connects well with what we studied in previous weeks..
S2006,5,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2006,6,no,,
S2006,7,yes,2.0,The examples in class really helped me understand the concepts better..
S2006,8,yes,3.0,This connects well with what we studied in previous weeks..
S2006,9,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2006,10,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2006,11,yes,0.0,I reviewed the readings and completed the analysis..
S2006,12,yes,0.0,This connects well with what we studied in previous weeks..
S2006,13,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2006,14,yes,0.0,The examples in class really helped me understand the concepts better..
S2006,15,yes,0.0,I tried to apply the methods we discussed in class..
S2006,16,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2007,1,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2007,2,yes,1.0,I found this topic interesting and learned a lot from the research..
S2007,3,no,,
S2007,4,yes,0.0,I found this topic interesting and learned a lot from the research..
S2007,5,yes,3.0,I tried to apply the methods we discussed in class..
S2007,6,yes,0.0,I tried to apply the methods we discussed in class..
S2007,7,yes,2.0,I completed the assignment based on the course materials..
S2007,8,yes,0.0,I reviewed the readings and completed the analysis..
S2007,9,yes,4.0,I tried to apply the methods we discussed in class..
S2007,10,yes,3.0,I reviewed the readings and completed the analysis..
S2007,11,yes,3.0,I turned in the assignment..
S2007,12,yes,0.0,I completed what was asked for..
S2007,13,no,,
S2007,14,yes,3.0,I followed the guidelines..
S2007,15,no,,
S2007,16,yes,2.0,I submitted the work..
S2008,1,no,,
S2008,2,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2008,3,yes,1.0,This connects well with what we studied in previous weeks..
S2008,4,yes,1.0,I followed the instructions and addressed all the requirements..
S2008,5,yes,0.0,The examples in class really helped me understand the concepts better..
S2008,6,yes,0.0,I found this topic interesting and learned a lot from the research..
S2008,7,yes,0.0,I completed the assignment based on the course materials..
S2008,8,yes,0.0,This connects well with what we studied in previous weeks..
S2008,9,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2008,10,yes,0.0,I think I understand the main concepts from this exercise..
S2008,11,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2008,12,yes,0.0,I followed the instructions and addressed all the requirements..
S2008,13,yes,0.0,I followed the instructions and addressed all the requirements..
S2008,14,yes,0.0,I tried to apply the methods we discussed in class..
S2008,15,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2008,16,yes,0.0,The examples in class really helped me understand the concepts better..
S2009,1,yes,1.0,I enjoyed exploring the different perspectives on this topic..
S2009,2,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2009,3,no,,
S2009,4,yes,1.0,I enjoyed exploring the different perspectives on this topic. I found the connections to previous material particularly helpful..
S2009,5,yes,0.0,I applied what we learned to a real-world situation in my analysis. I found the connections to previous material particularly helpful..
S2009,6,yes,0.0,The examples in class really helped me understand the concepts better..
S2009,7,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2009,8,yes,0.0,I found this topic interesting and learned a lot from the research. I found the connections to previous material particularly helpful..
S2009,9,yes,0.0,This connects well with what we studied in previous weeks. I found the connections to previous material particularly helpful..
S2009,10,yes,0.0,I found this topic interesting and learned a lot from the research..
S2009,11,no,,
S2009,12,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2009,13,yes,1.0,I found this topic interesting and learned a lot from the research..
S2009,14,yes,0.0,I found this topic interesting and learned a lot from the research. I found the connections to previous material particularly helpful..
S2009,15,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2009,16,yes,1.0,I applied what we learned to a real-world situation in my analysis..
S2010,1,yes,1.0,The examples in class really helped me understand the concepts better..
S2010,2,yes,0.0,This connects well with what we studied in previous weeks..
S2010,3,yes,1.0,This connects well with what we studied in previous weeks..
S2010,4,yes,1.0,This connects well with what we studied in previous weeks..
S2010,5,no,,
S2010,6,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2010,7,yes,0.0,I found this topic interesting and learned a lot from the research..
S2010,8,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2010,9,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2010,10,yes,0.0,This connects well with what we studied in previous weeks..
S2010,11,yes,0.0,This connects well with what we studied in previous weeks..
S2010,12,yes,0.0,I found this topic interesting and learned a lot from the research..
S2010,13,yes,0.0,I found this topic interesting and learned a lot from the research..
S2010,14,yes,0.0,I found this topic interesting and learned a lot from the research..
S2010,15,yes,0.0,This connects well with what we studied in previous weeks..
S2010,16,yes,0.0,The examples in class really helped me understand the concepts better..
S2011,1,yes,1.0,I found this topic interesting and learned a lot from the research..
S2011,2,no,,
S2011,3,yes,0.0,The examples in class really helped me understand the concepts better..
S2011,4,yes,1.0,The examples in class really helped me understand the concepts better..
S2011,5,no,,
S2011,6,yes,0.0,This connects well with what we studied in previous weeks..
S2011,7,yes,0.0,This connects well with what we studied in previous weeks..
S2011,8,yes,0.0,The examples in class really helped me understand the concepts better..
S2011,9,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2011,10,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2011,11,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2011,12,yes,0.0,I found this topic interesting and learned a lot from the research..
S2011,13,yes,1.0,I found this topic interesting and learned a lot from the research..
S2011,14,yes,1.0,The examples in class really helped me understand the concepts better..
S2011,15,yes,3.0,This connects well with what we studied in previous weeks..
S2011,16,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2012,1,yes,1.0,I found this topic interesting and learned a lot from the research..
S2012,2,yes,2.0,I found this topic interesting and learned a lot from the research..
S2012,3,yes,0.0,I found this topic interesting and learned a lot from the research..
S2012,4,no,,
S2012,5,no,,
S2012,6,yes,1.0,I completed the assignment based on the course materials..
S2012,7,yes,1.0,I completed the assignment based on the course materials..
S2012,8,yes,0.0,I think I understand the main concepts from this exercise..
S2012,9,yes,2.0,I completed the assignment based on the course materials..
S2012,10,yes,0.0,I think I understand the main concepts from this exercise..
S2012,11,no,,
S2012,12,no,,
S2012,13,no,,
S2012,14,yes,0.0,I completed what was asked for..
S2012,15,yes,3.0,I followed the guidelines..
S2012,16,no,,
S2013,1,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2013,2,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2013,3,no,,
S2013,4,yes,1.0,The examples in class really helped me understand the concepts better..
S2013,5,no,,
S2013,6,yes,0.0,I completed the assignment based on the course materials..
S2013,7,no,,
S2013,8,no,,
S2013,9,yes,2.0,I completed the assignment based on the course materials..
S2013,10,no,,
S2013,11,yes,2.0,I did the assignment as required..
S2013,12,no,,
S2013,13,yes,3.0,I did the assignment as required..
S2013,14,no,,
S2013,15,yes,1.0,I completed what was asked for..
S2013,16,yes,2.0,I did the assignment as required..
S2014,1,yes,1.0,The examples in class really helped me understand the concepts better..
S2014,2,yes,0.0,I found this topic interesting and learned a lot from the research..
S2014,3,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2014,4,yes,0.0,I found this topic interesting and learned a lot from the research..
S2014,5,yes,1.0,I think I understand the main concepts from this exercise..
S2014,6,yes,0.0,I reviewed the readings and completed the analysis..
S2014,7,yes,0.0,I followed the instructions and addressed all the requirements..
S2014,8,no,,
S2014,9,yes,1.0,I reviewed the readings and completed the analysis..
S2014,10,yes,1.0,I completed the assignment based on the course materials..
S2014,11,no,,
S2014,12,no,,
S2014,13,no,,
S2014,14,yes,1.0,I turned in the assignment..
S2014,15,yes,4.0,I followed the guidelines..
S2014,16,no,,
S2015,1,yes,0.0,I found this topic interesting and learned a lot from the research..
S2015,2,yes,2.0,I found this topic interesting and learned a lot from the research..
S2015,3,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2015,4,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2015,5,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2015,6,yes,2.0,I reviewed the readings and completed the analysis. I found the connections to previous material particularly helpful..
S2015,7,yes,1.0,I found this topic interesting and learned a lot from the research..
S2015,8,yes,0.0,I enjoyed exploring the different perspectives on this topic..
S2015,9,yes,0.0,The examples in class really helped me understand the concepts better. I found the connections to previous material particularly helpful..
S2015,10,yes,0.0,I found this topic interesting and learned a lot from the research. I found the connections to previous material particularly helpful..
S2015,11,yes,0.0,The examples in class really helped me understand the concepts better..
S2015,12,yes,0.0,The examples in class really helped me understand the concepts better..
S2015,13,yes,1.0,I tried to apply the methods we discussed in class..
S2015,14,yes,1.0,This connects well with what we studied in previous weeks..
S2015,15,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2015,16,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2016,1,yes,1.0,I reviewed the readings and completed the analysis..
S2016,2,yes,1.0,I think I understand the main concepts from this exercise..
S2016,3,no,,
S2016,4,yes,2.0,I followed the instructions and addressed all the requirements..
S2016,5,yes,0.0,I applied what we learned to a real-world situation in my analysis..
S2016,6,yes,0.0,This connects well with what we studied in previous weeks..
