student_id,final_outcome,student_type
S2000,completed,stable
S2001,completed,stable
S2002,completed,gradual_disengagement
S2003,completed,stable
S2004,completed,stable
S2005,completed,stable
S2006,completed,stable
S2007,dropped,gradual_disengagement
S2008,completed,stable
S2009,completed,stable
S2010,completed,stable
S2011,completed,stable
S2012,dropped,gradual_disengagement
S2013,dropped,gradual_disengagement
S2014,dropped,gradual_disengagement
S2015,completed,stable
S2016,completed,stable
S2017,completed,stable
S2018,completed,stable
S2019,completed,stable
S2020,borderline,gradual_disengagement
S2021,completed,stable
S2022,completed,stable
S2023,completed,stable
S2024,completed,stable
S2025,borderline,gradual_disengagement
S2026,completed,stable
S2027,completed,stable
S2028,completed,stable
S2029,completed,stable
S2030,completed,gradual_disengagement
S2031,completed,stable
S2032,completed,stable
S2033,completed,stable
S2034,completed,volatile_non_failing
S2035,borderline,gradual_disengagement
S2036,completed,stable
S2037,completed,stable
S2038,completed,stable
S2039,completed,stable
S2040,completed,stable
S2041,completed,stable
S2042,completed,stable
S2043,completed,volatile_non_failing
S2044,completed,stable
S2045,completed,stable
S2046,completed,volatile_non_failing
S2047,completed,stable
S2048,completed,stable
S2049,completed,stable
S2050,completed,stable
S2051,completed,stable
S2052,completed,stable
S2053,borderline,volatile_non_failing
S2054,dropped,gradual_disengagement
S2055,completed,volatile_non_failing
S2056,completed,stable
S2057,dropped,gradual_disengagement
S2058,completed,stable
S2059,completed,stable
S2060,completed,stable
S2061,completed,stable
S2062,completed,stable
S2063,borderline,gradual_disengagement
S2064,completed,stable
S2065,completed,volatile_non_failing
S2066,completed,stable
S2067,completed,stable
S2068,completed,stable
S2069,completed,stable
S2070,completed,stable
S2071,completed,stable
S2072,completed,stable
S2073,completed,stable
S2074,dropped,gradual_disengagement
S2075,completed,gradual_disengagement
S2076,borderline,gradual_disengagement
S2077,completed,gradual_disengagement
S2078,completed,gradual_disengagement
S2079,completed,stable
S2080,borderline,volatile_non_failing
S2081,borderline,stable
S2082,completed,volatile_non_failing
S2083,completed,stable
S2084,completed,stable
S2085,completed,stable
S2086,completed,stable
S2087,completed,stable
S2088,completed,stable
